Index,Clinic Name,Dentist Name,Address,Phone,Email,Website,Google Maps URL
73,Smile Designers!,,Erzsébet krt. 58,+36 1 773 3310,,,https://www.google.com/maps/place/Smile+Designers!/data=!4m7!3m6!1s0x4741dc144e28b1af:0xf5d719e8c661a1dd!8m2!3d47.5030424!4d19.0657213!16s%2Fg%2F1q6h_zf70!19sChIJr7EoThTcQUcR3aFhxugZ1_U?authuser=0&hl=am&rclk=1
74,mySmile- Orvosi Centrum - Fogszabályozás és Orvosesztétika,,?,+36 70 907 0904,,,https://www.google.com/maps/place/mySmile-+Orvosi+Centrum+-+Fogszab%C3%A1lyoz%C3%A1s+%C3%A9s+Orvoseszt%C3%A9tika/data=!4m7!3m6!1s0x4741dfed6a067cd3:0xdc67030e84f9c6b3!8m2!3d47.4996125!4d19.0319154!16s%2Fg%2F11h9l7mv71!19sChIJ03wGau3fQUcRs8b5hA4DZ9w?authuser=0&hl=am&rclk=1
75,360 Dental Fogászat és Szájsebészet,,Hegedus Gyula u. 33,+36 30 244 4432,,,https://www.google.com/maps/place/360+Dental+Fog%C3%A1szat+%C3%A9s+Sz%C3%A1jseb%C3%A9szet/data=!4m7!3m6!1s0x4741dd20a7234c35:0x8e8974e475d7e543!8m2!3d47.5160025!4d19.0553532!16s%2Fg%2F11szjtn14n!19sChIJNUwjpyDdQUcRQ-XXdeR0iY4?authuser=0&hl=am&rclk=1
76,optimum Dentistry,,?,+36 30 563 7537,,,https://www.google.com/maps/place/optimum+Dentistry/data=!4m7!3m6!1s0x4741dcfa2a416d3f:0xe0ed8709cd21a2ed!8m2!3d47.4821904!4d19.0768854!16s%2Fg%2F11byk_m_f5!19sChIJP21BKvrcQUcR7aIhzQmH7eA?authuser=0&hl=am&rclk=1
77,Smilecenter The Dental Spa,,?,+36 1 312 3727,,,https://www.google.com/maps/place/Smilecenter+The+Dental+Spa/data=!4m7!3m6!1s0x4741dc11ca0d1621:0x7d20e373f96d3f34!8m2!3d47.5087253!4d19.0471659!16s%2Fg%2F1hhvz9xz2!19sChIJIRYNyhHcQUcRND9t-XPjIH0?authuser=0&hl=am&rclk=1
78,Király Dent,,?,+36 30 433 4400,,,https://www.google.com/maps/place/Kir%C3%A1ly+Dent/data=!4m7!3m6!1s0x4741dc45e862f255:0x830e80785e7efb26!8m2!3d47.4896702!4d19.0534653!16s%2Fg%2F11c5sb_51q!19sChIJVfJi6EXcQUcRJvt-XniADoM?authuser=0&hl=am&rclk=1
79,"TG Dental Fogászat - Fogimplantátum, All-on-4, Fogpótlások",,?,+36 70 230 5680,,,"https://www.google.com/maps/place/TG+Dental+Fog%C3%A1szat+-+Fogimplant%C3%A1tum,+All-on-4,+Fogp%C3%B3tl%C3%A1sok/data=!4m7!3m6!1s0x4741dd4548ffd073:0xea7469fb00528a4f!8m2!3d47.4863683!4d19.0706847!16s%2Fg%2F11fhxxwzh6!19sChIJc9D_SEXdQUcRT4pSAPtpdOo?authuser=0&hl=am&rclk=1"
80,Eurodentaire,,Móricz Zsigmond körtér 3/A,+33 1 84 25 75 25,,,https://www.google.com/maps/place/Eurodentaire/data=!4m7!3m6!1s0x4741ddb318e42f91:0xa1961307d0621dcb!8m2!3d47.4780284!4d19.0473095!16s%2Fg%2F11bw5_m781!19sChIJkS_kGLPdQUcRyx1i0AcTlqE?authuser=0&hl=am&rclk=1
81,Lilladent,,Teréz krt. 21,+36 70 613 5306,,,https://www.google.com/maps/place/Lilladent/data=!4m7!3m6!1s0x4741ddcf1564dfff:0x127c0a63aafd655c!8m2!3d47.5060393!4d19.0626001!16s%2Fg%2F11shgbyv5l!19sChIJ_99kFc_dQUcRXGX9qmMKfBI?authuser=0&hl=am&rclk=1
82,President dentistry,,?,+36 70 334 3969,,,https://www.google.com/maps/place/President+dentistry/data=!4m7!3m6!1s0x4741dbeac2422e95:0x67736f52c71d26d2!8m2!3d47.5341893!4d19.074043!16s%2Fg%2F124t21hvb!19sChIJlS5CwurbQUcR0iYdx1Jvc2c?authuser=0&hl=am&rclk=1
83,Smile Harmony Dental - Digitális Fogászat Bel-Buda,,Lövoház u. 2-6,+36 20 215 8163,,,https://www.google.com/maps/place/Smile+Harmony+Dental+-+Digit%C3%A1lis+Fog%C3%A1szat+Bel-Buda/data=!4m7!3m6!1s0x4741df0f0fa950f5:0x53853694ccd258fd!8m2!3d47.5081405!4d19.0263812!16s%2Fg%2F11vljqw18_!19sChIJ9VCpDw_fQUcR_VjSzJQ2hVM?authuser=0&hl=am&rclk=1
84,Smilecraft Dental Studio,,Csalogány u. 39 3-emelet 2,+36 70 666 1010,,,https://www.google.com/maps/place/Smilecraft+Dental+Studio/data=!4m7!3m6!1s0x4741ddf96a6ac3a1:0x32d8cd4cf8fa6922!8m2!3d47.507966!4d19.031987!16s%2Fg%2F11nghtwcq_!19sChIJocNqavndQUcRImn6-EzN2DI?authuser=0&hl=am&rclk=1
85,Innovative Dental Care Ltd..,,?,+36 30 611 0401,,,https://www.google.com/maps/place/Innovative+Dental+Care+Ltd../data=!4m7!3m6!1s0x4741dbf4e8213387:0xf466a57ca0855136!8m2!3d47.5205493!4d19.0643735!16s%2Fg%2F11b6gp_hxb!19sChIJhzMh6PTbQUcRNlGFoHylZvQ?authuser=0&hl=am&rclk=1
86,Flórián Dental,,?,+36 20 388 1441,,,https://www.google.com/maps/place/Fl%C3%B3ri%C3%A1n+Dental/data=!4m7!3m6!1s0x4741d95c55bc9879:0x46c713ed4cc0fa97!8m2!3d47.5390415!4d19.0383917!16s%2Fg%2F1td1c5rb!19sChIJeZi8VVzZQUcRl_rATO0Tx0Y?authuser=0&hl=am&rclk=1
87,Dare to Smile Dental Budapest,,?,+44 7447 984409,,,https://www.google.com/maps/place/Dare+to+Smile+Dental+Budapest/data=!4m7!3m6!1s0x4741dc29df4866a5:0xca93a37c0b3b2e3e!8m2!3d47.5171487!4d19.0041035!16s%2Fg%2F11cs6dvzdg!19sChIJpWZI3yncQUcRPi47C3yjk8o?authuser=0&hl=am&rclk=1
88,Andersen Tandklinik Budapest,,Petofi Sándor u. 6. 1-emelet 1,+45 78 77 50 21,,,https://www.google.com/maps/place/Andersen+Tandklinik+Budapest/data=!4m7!3m6!1s0x4741dd62ffc8a7cd:0xe53ebaaed4cc8c50!8m2!3d47.4937914!4d19.0547079!16s%2Fg%2F11lf_nmzkz!19sChIJzafI_2LdQUcRUIzM1K66PuU?authuser=0&hl=am&rclk=1
89,Prime Dental Clinic,,?,+36 20 662 8798,,,https://www.google.com/maps/place/Prime+Dental+Clinic/data=!4m7!3m6!1s0x4741dc0398e94707:0x512867df4aa3bea8!8m2!3d47.5102059!4d19.0377611!16s%2Fg%2F11ck9cs0x0!19sChIJB0fpmAPcQUcRqL6jSt9nKFE?authuser=0&hl=am&rclk=1
90,OralCare Hungary KFT,,?,+36 20 265 1579,,,https://www.google.com/maps/place/OralCare+Hungary+KFT/data=!4m7!3m6!1s0x4741dc1d19e14405:0x41c7ef4a0f3f7b41!8m2!3d47.5108448!4d19.032726!16s%2Fg%2F11bc73qqfs!19sChIJBUThGR3cQUcRQXs_D0rvx0E?authuser=0&hl=am&rclk=1
91,DH Dental Kft.,,?,+36 1 316 9918,,,https://www.google.com/maps/place/DH+Dental+Kft./data=!4m7!3m6!1s0x4741dea80a366daf:0x4caaa4999e24a27d!8m2!3d47.5132193!4d19.0300013!16s%2Fg%2F1vfwbmg0!19sChIJr202CqjeQUcRfaIknpmkqkw?authuser=0&hl=am&rclk=1
92,Grand Park Dental Dentist Budapest,,?,+36 20 296 0875,,,https://www.google.com/maps/place/Grand+Park+Dental+Dentist+Budapest/data=!4m7!3m6!1s0x4741ddf58a7d8b75:0x2f5d87972bb03c1a!8m2!3d47.5043189!4d19.1163192!16s%2Fg%2F1hc6b1rdn!19sChIJdYt9ivXdQUcRGjywK5eHXS8?authuser=0&hl=am&rclk=1
93,West Dent Dentistry and Implantology,,?,+36 30 943 3922,,,https://www.google.com/maps/place/West+Dent+Dentistry+and+Implantology/data=!4m7!3m6!1s0x4741dc0daa2912cd:0x4730c9467c6f4a78!8m2!3d47.5216055!4d19.0616709!16s%2Fg%2F1hc2hkg81!19sChIJzRIpqg3cQUcReEpvfEbJMEc?authuser=0&hl=am&rclk=1
94,"Art of Smile Professzionális Fogszabályozás, Gyermekfogászat, Implantológia",,?,+36 30 885 4673,,,"https://www.google.com/maps/place/Art+of+Smile+Professzion%C3%A1lis+Fogszab%C3%A1lyoz%C3%A1s,+Gyermekfog%C3%A1szat,+Implantol%C3%B3gia/data=!4m7!3m6!1s0x4741dd6b188f5ebd:0x327a006bf769954a!8m2!3d47.510175!4d19.0305021!16s%2Fg%2F11f626wlpl!19sChIJvV6PGGvdQUcRSpVp92sAejI?authuser=0&hl=am&rclk=1"
95,"Natural Dental Dentist, Dental",,?,+36 70 428 0249,,,"https://www.google.com/maps/place/Natural+Dental+Dentist,+Dental/data=!4m7!3m6!1s0x4741dce325fe916b:0xaba56c428a7a0618!8m2!3d47.4762005!4d19.0809497!16s%2Fg%2F11bbt70_1r!19sChIJa5H-JePcQUcRGAZ6ikJspas?authuser=0&hl=am&rclk=1"
96,"IMPLANTALdental Budapest, Zahnklinik, Dentistry",,Retek u. 21-27/b,+36 30 210 7700,,,"https://www.google.com/maps/place/IMPLANTALdental+Budapest,+Zahnklinik,+Dentistry/data=!4m7!3m6!1s0x4741dea147d2bfc9:0xe2cc5049d0ed4d7e!8m2!3d47.5084868!4d19.0225155!16s%2Fg%2F1tdkff32!19sChIJyb_SR6HeQUcRfk3t0ElQzOI?authuser=0&hl=am&rclk=1"
97,Dental-Spirit Fogászat,,Attila út 129,+36 70 908 0136,,,https://www.google.com/maps/place/Dental-Spirit+Fog%C3%A1szat/data=!4m7!3m6!1s0x476a745f223585ff:0x3a7b6cc018cf3241!8m2!3d47.503476!4d19.0259885!16s%2Fg%2F1hhxrqkpf!19sChIJ_4U1Il90akcRQTLPGMBsezo?authuser=0&hl=am&rclk=1
98,Kizman Dental Studio,,?,+36 70 300 5060,,,https://www.google.com/maps/place/Kizman+Dental+Studio/data=!4m7!3m6!1s0x4741dbf6895e0bfd:0x4b1f903dd1d768ab!8m2!3d47.5211334!4d19.0576553!16s%2Fg%2F11g9vtp7y8!19sChIJ_QteifbbQUcRq2jX0T2QH0s?authuser=0&hl=am&rclk=1
99,Dental Centre Hungary,,Margit körút 67,+36 20 519 0015,,,https://www.google.com/maps/place/Dental+Centre+Hungary/data=!4m7!3m6!1s0x4741dc867c39ca49:0xedbc45deffebf020!8m2!3d47.5104517!4d19.0300167!16s%2Fg%2F11c13q3nwt!19sChIJSco5fIbcQUcRIPDr_95FvO0?authuser=0&hl=am&rclk=1
100,Hungarian Dental Travel,,Fodor u. 140,+44 20 3633 1962,,,https://www.google.com/maps/place/Hungarian+Dental+Travel/data=!4m7!3m6!1s0x4741ddb50703ae1b:0x3dca24ddbbdc97b0!8m2!3d47.487269!4d18.9908441!16s%2Fg%2F11cn6rny5w!19sChIJG64DB7XdQUcRsJfcu90kyj0?authuser=0&hl=am&rclk=1
101,Implantcenter Fogászati és Szájsebészeti Klinika (Budapest),,Margit körút 67,+36 1 422 0808,,,https://www.google.com/maps/place/Implantcenter+Fog%C3%A1szati+%C3%A9s+Sz%C3%A1jseb%C3%A9szeti+Klinika+%28Budapest%29/data=!4m7!3m6!1s0x4741dc1d7f47e8b5:0xbc6a98f5e7c1e98b!8m2!3d47.5104499!4d19.0299168!16s%2Fg%2F11bt_897qy!19sChIJtehHfx3cQUcRi-nB5_WYarw?authuser=0&hl=am&rclk=1
102,DENT-INN Dental Kft.,,?,+36 20 558 4300,,,https://www.google.com/maps/place/DENT-INN+Dental+Kft./data=!4m7!3m6!1s0x4741dcfef6773981:0x9b5e8b10c660b28f!8m2!3d47.477685!4d19.0719829!16s%2Fg%2F1hhw9yqzr!19sChIJgTl39v7cQUcRj7JgxhCLXps?authuser=0&hl=am&rclk=1
103,Dental Clinic Budapest,,Tábor u. 5,+36 70 592 3036,,,https://www.google.com/maps/place/Dental+Clinic+Budapest/data=!4m7!3m6!1s0x4741e08b482bffff:0x5e84153dffb85cfa!8m2!3d47.4996169!4d19.0319772!16s%2Fg%2F11hyt0gcdj!19sChIJ__8rSIvgQUcR-ly4_z0VhF4?authuser=0&hl=am&rclk=1
104,Móricz Dental Fogászat,,Móricz Zsigmond körtér 3/a,+36 1 361 1222,,,https://www.google.com/maps/place/M%C3%B3ricz+Dental+Fog%C3%A1szat/data=!4m7!3m6!1s0x4741ddb31be6e569:0x1a068d052f6c7b40!8m2!3d47.4780192!4d19.0474202!16s%2Fg%2F1hdzlw5jt!19sChIJaeXmG7PdQUcRQHtsLwWNBho?authuser=0&hl=am&rclk=1
105,Zsálya Dental - Dr. Kovács Detre fogorvos Budapest,,"Budapest Teréz körút 21 55-ös csengo, 3. emelet",+36 20 662 7288,,,https://www.google.com/maps/place/Zs%C3%A1lya+Dental+-+Dr.+Kov%C3%A1cs+Detre+fogorvos+Budapest/data=!4m7!3m6!1s0x4741dd8dfc9339cf:0xff3f746814d963a0!8m2!3d47.5060393!4d19.0626001!16s%2Fg%2F11rgd94n5s!19sChIJzzmT_I3dQUcRoGPZFGh0P_8?authuser=0&hl=am&rclk=1
106,Smile and Teeth Dental,,?,+36 70 429 0157,,,https://www.google.com/maps/place/Smile+and+Teeth+Dental/data=!4m7!3m6!1s0x4741df97c4097777:0x977ee67878d19215!8m2!3d47.5170638!4d19.0039912!16s%2Fg%2F11kwstj1l8!19sChIJd3cJxJffQUcRFZLReHjmfpc?authuser=0&hl=am&rclk=1
107,Dentist in Budapest,,Teréz krt. 21,+36 70 613 5111,,,https://www.google.com/maps/place/Dentist+in+Budapest/data=!4m7!3m6!1s0x4741d79e6bd6d5cd:0x547b3993232cb62b!8m2!3d47.5060393!4d19.0626001!16s%2Fg%2F11l9jvlhpc!19sChIJzdXWa57XQUcRK7YsI5M5e1Q?authuser=0&hl=am&rclk=1
108,Harmónia Dental,,Molnár u. 53-1. em. 3,+36 1 266 6766,,,https://www.google.com/maps/place/Harm%C3%B3nia+Dental/data=!4m7!3m6!1s0x4741dc404ca60417:0x79c9cfb11d93b62c!8m2!3d47.4874582!4d19.0563326!16s%2Fg%2F11hdy2dz1c!19sChIJFwSmTEDcQUcRLLaTHbHPyXk?authuser=0&hl=am&rclk=1
109,FRANCE DENTAL CLINIQUE,,?,+33 6 28 27 01 18,,,https://www.google.com/maps/place/FRANCE+DENTAL+CLINIQUE/data=!4m7!3m6!1s0x4741dd36df93b685:0x827bd75607d2be3a!8m2!3d47.5068811!4d19.0260411!16s%2Fg%2F11gjnyk1sx!19sChIJhbaT3zbdQUcROr7SB1bXe4I?authuser=0&hl=am&rclk=1
110,Horvath Dental,,?,+36 70 365 9809,,,https://www.google.com/maps/place/Horvath+Dental/data=!4m7!3m6!1s0x4741dc6b6ac54af1:0xc117daf82f7272b1!8m2!3d47.5021068!4d19.0557096!16s%2Fg%2F1tksm3wj!19sChIJ8UrFamvcQUcRsXJyL_jaF8E?authuser=0&hl=am&rclk=1
111,DentalStudio Budapest,,Keleti Károly u. 2,+36 20 973 3299,,,https://www.google.com/maps/place/DentalStudio+Budapest/data=!4m7!3m6!1s0x4741ddb8a32bf123:0xd32202a84d2186ab!8m2!3d47.5112182!4d19.0317987!16s%2Fg%2F11gxxn83xm!19sChIJI_Ero7jdQUcRq4YhTagCItM?authuser=0&hl=am&rclk=1
112,Ráday32 Dentalcentrum,,Ráday u. 32,+36 30 197 1532,,,https://www.google.com/maps/place/R%C3%A1day32+Dentalcentrum/data=!4m7!3m6!1s0x4741dc574829e265:0x3e77f8f3362a565d!8m2!3d47.4853165!4d19.0648213!16s%2Fg%2F11bx1_0dxw!19sChIJZeIpSFfcQUcRXVYqNvP4dz4?authuser=0&hl=am&rclk=1
113,Fórumdental Debrecen,,?,+36 30 448 8077,,,https://www.google.com/maps/place/F%C3%B3rumdental+Debrecen/data=!4m7!3m6!1s0x47470e756a71ce89:0xcb3c9e56ba339fe2!8m2!3d47.533389!4d21.629644!16s%2Fg%2F1pp2wz_45!19sChIJic5xanUOR0cR4p8zulaePMs?authuser=0&hl=am&rclk=1
114,Forma Dental Clinic fogászat,,?,+36 52 998 488,,,https://www.google.com/maps/place/Forma+Dental+Clinic+fog%C3%A1szat/data=!4m7!3m6!1s0x47470fee3a6e1bef:0x43055934fe92dbc!8m2!3d47.5290234!4d21.6198027!16s%2Fg%2F11q8409yxf!19sChIJ7xtuOu4PR0cRvC3pT5NVMAQ?authuser=0&hl=am&rclk=1
115,Prizma Dental | fogorvosi és szájsebészeti magánrendelo | Debrecen,,?,+36 20 417 4626,,,https://www.google.com/maps/place/Prizma+Dental+%7C+fogorvosi+%C3%A9s+sz%C3%A1jseb%C3%A9szeti+mag%C3%A1nrendel%C5%91+%7C+Debrecen/data=!4m7!3m6!1s0x47470e778db4d925:0x72c92b9755915162!8m2!3d47.5279788!4d21.6260691!16s%2Fg%2F11hcyv8sm7!19sChIJJdm0jXcOR0cRYlGRVZcryXI?authuser=0&hl=am&rclk=1
116,Mathe Dentistry,,?,+36 30 905 2282,,,https://www.google.com/maps/place/Mathe+Dentistry/data=!4m7!3m6!1s0x47470de6895d93b1:0xec9536879a6191cc!8m2!3d47.5423655!4d21.6282666!16s%2Fg%2F11g6xb6fwd!19sChIJsZNdieYNR0cRzJFhmoc2lew?authuser=0&hl=am&rclk=1
117,Primus Dental | Fájdalommentes fogászat Debrecen,,?,+36 20 393 0058,,,https://www.google.com/maps/place/Primus+Dental+%7C+F%C3%A1jdalommentes+fog%C3%A1szat+Debrecen/data=!4m7!3m6!1s0x4ad5533120e87847:0xba32abc2b7c60c79!8m2!3d47.5396336!4d21.6033461!16s%2Fg%2F11tjhbxvnv!19sChIJR3joIDFT1UoReQzGt8KrMro?authuser=0&hl=am&rclk=1
118,Premier Dent,,"Erzsébet u. 48., fsz 4",+36 30 314 5345,,,https://www.google.com/maps/place/Premier+Dent/data=!4m7!3m6!1s0x47470f14e0a8c657:0xe0daf068be2ec23c!8m2!3d47.522842!4d21.619949!16s%2Fg%2F11xgqntd_6!19sChIJV8ao4BQPR0cRPMIuvmjw2uA?authuser=0&hl=am&rclk=1
119,Potidental Esztétikai Fogászat és Implantációs Klinika,,Arany János u. 8,+36 20 212 0202,,,https://www.google.com/maps/place/Potidental+Eszt%C3%A9tikai+Fog%C3%A1szat+%C3%A9s+Implant%C3%A1ci%C3%B3s+Klinika/data=!4m7!3m6!1s0x47470fc57392f1f1:0x455d4c3e20f19612!8m2!3d47.5267757!4d21.6244715!16s%2Fg%2F11gy635hwn!19sChIJ8fGSc8UPR0cREpbxID5MXUU?authuser=0&hl=am&rclk=1
120,Luminova Esztétikai Fogászat | Dr. Olvasztó Pálma fogorvos Debrecen,,Bajcsy-Zsilinszky u. 24-Földszint 1,+36 30 303 5428,,,https://www.google.com/maps/place/Luminova+Eszt%C3%A9tikai+Fog%C3%A1szat+%7C+Dr.+Olvaszt%C3%B3+P%C3%A1lma+fogorvos+Debrecen/data=!4m7!3m6!1s0x47470f6cc393d65f:0xb6ad7fdd4662f8d1!8m2!3d47.529369!4d21.6211359!16s%2Fg%2F11h5vzd6sm!19sChIJX9aTw2wPR0cR0fhiRt1_rbY?authuser=0&hl=am&rclk=1
121,VIP Dental 3D CBCT és Röntgen Központ - Debrecen,,?,+36 20 364 2122,,,https://www.google.com/maps/place/VIP+Dental+3D+CBCT+%C3%A9s+R%C3%B6ntgen+K%C3%B6zpont+-+Debrecen/data=!4m7!3m6!1s0x47470de02ce967f5:0xaafc785c41f10673!8m2!3d47.5364244!4d21.6260254!16s%2Fg%2F11dyqypb86!19sChIJ9WfpLOANR0cRcwbxQVx4_Ko?authuser=0&hl=am&rclk=1
122,Residence Dental Clinic,,?,+36 20 454 4345,,,https://www.google.com/maps/place/Residence+Dental+Clinic/data=!4m7!3m6!1s0x47470dca8a7c8c15:0x472a3fd04956a681!8m2!3d47.5511394!4d21.6202836!16s%2Fg%2F11hnbcgpwd!19sChIJFYx8isoNR0cRgaZWSdA_Kkc?authuser=0&hl=am&rclk=1
123,Dent Island Aesthetic Dentistry and Implantology Center,,?,+36 52 532 737,,,https://www.google.com/maps/place/Dent+Island+Aesthetic+Dentistry+and+Implantology+Center/data=!4m7!3m6!1s0x47470dedb0cf500d:0xd9e9ab52132504a!8m2!3d47.552433!4d21.6290683!16s%2Fg%2F1tjs3qpc!19sChIJDVDPsO0NR0cRSlAyIbWang0?authuser=0&hl=am&rclk=1
124,Ép-Dent Fogászat,,?,+36 20 231 1353,,,https://www.google.com/maps/place/%C3%89p-Dent+Fog%C3%A1szat/data=!4m7!3m6!1s0x47471211c972e74f:0x45b02f6a3e1ec217!8m2!3d47.521117!4d21.6079456!16s%2Fg%2F1tg6jb4f!19sChIJT-dyyRESR0cRF8IePmovsEU?authuser=0&hl=am&rclk=1
125,Sugárút Fogászat és Szájsebészet,,Egyetem sgrt. 22-Földszint 3. ajtó,+36 30 662 2559,,,https://www.google.com/maps/place/Sug%C3%A1r%C3%BAt+Fog%C3%A1szat+%C3%A9s+Sz%C3%A1jseb%C3%A9szet/data=!4m7!3m6!1s0x47470d91280642a9:0x467a6ebfb8f367ad!8m2!3d47.5399036!4d21.6216893!16s%2Fg%2F11vzxsxx5n!19sChIJqUIGKJENR0cRrWfzuL9uekY?authuser=0&hl=am&rclk=1
126,"Dr. Péter László fogorvos, fog- és szájbetegségek szakorvosa, implantológus - Debrecen",,Kossuth u. 56,+36 20 921 2936,,,"https://www.google.com/maps/place/Dr.+P%C3%A9ter+L%C3%A1szl%C3%B3+fogorvos,+fog-+%C3%A9s+sz%C3%A1jbetegs%C3%A9gek+szakorvosa,+implantol%C3%B3gus+-+Debrecen/data=!4m7!3m6!1s0x47470e7684c6b68b:0x9563095305e8efcd!8m2!3d47.530496!4d21.633746!16s%2Fg%2F11f03l3z_7!19sChIJi7bGhHYOR0cRze_oBVMJY5U?authuser=0&hl=am&rclk=1"
127,Csigekert Magán Fogorvos Fogászat Debrecen,,Csigekert u. 55,+36 30 462 1962,,,https://www.google.com/maps/place/Csigekert+Mag%C3%A1n+Fogorvos+Fog%C3%A1szat+Debrecen/data=!4m7!3m6!1s0x47470f999dbee4d3:0xf01c5f12aa461f21!8m2!3d47.5388895!4d21.6034968!16s%2Fg%2F11j4s4qs2c!19sChIJ0-S-nZkPR0cRIR9GqhJfHPA?authuser=0&hl=am&rclk=1
128,Miami Smile Debrecen,,Egyetem sgrt. 22,+36 70 353 4000,,,https://www.google.com/maps/place/Miami+Smile+Debrecen/data=!4m7!3m6!1s0x47470dd17f27370b:0x6b491eb6d7794317!8m2!3d47.5399036!4d21.6216893!16s%2Fg%2F11ns3j43p9!19sChIJCzcnf9ENR0cRF0N517YeSWs?authuser=0&hl=am&rclk=1
129,Dr. Krüzsely Erika Fogászat,,Blaháné u. 14,,,,https://www.google.com/maps/place/Dr.+Kr%C3%BCzsely+Erika+Fog%C3%A1szat/data=!4m7!3m6!1s0x47470f87cea835f9:0xaf56d19f24a9d983!8m2!3d47.5310138!4d21.6296823!16s%2Fg%2F11llbb50qb!19sChIJ-TWozocPR0cRg9mpJJ_RVq8?authuser=0&hl=am&rclk=1
130,Dr. D. Tóth Etelka - Corner Dent,,Péterfia u. 2. 1-emelet 3,+36 30 262 5981,,,https://www.google.com/maps/place/Dr.+D.+T%C3%B3th+Etelka+-+Corner+Dent/data=!4m7!3m6!1s0x47470faf3f967907:0x6159871ca25773ca!8m2!3d47.5336411!4d21.6253591!16s%2Fg%2F11n12bj5y2!19sChIJB3mWP68PR0cRynNXohyHWWE?authuser=0&hl=am&rclk=1
131,Corvita Dental,,Martonfalvi u. 2/a,,,,https://www.google.com/maps/place/Corvita+Dental/data=!4m7!3m6!1s0x4747120c7340f67b:0xdf5eff5a3b8d7fac!8m2!3d47.5540398!4d21.6175101!16s%2Fg%2F1tf_rnp4!19sChIJe_ZAcwwSR0cRrH-NO1r_Xt8?authuser=0&hl=am&rclk=1
132,Paris Dental kft.,,Péterfia u. 21-23,,,,https://www.google.com/maps/place/Paris+Dental+kft./data=!4m7!3m6!1s0x47470d1160aeeb75:0x4bc357e9cf2195b1!8m2!3d47.5354441!4d21.6261614!16s%2Fg%2F11l3xz7w6r!19sChIJdeuuYBENR0cRsZUhz-lXw0s?authuser=0&hl=am&rclk=1
133,Holp Dental Fogorvosi Rendelo,,Vár u. 12,+36 30 548 9299,,,https://www.google.com/maps/place/Holp+Dental+Fogorvosi+Rendel%C5%91/data=!4m7!3m6!1s0x47470fa443be4355:0x740ba5d0cc524b6!8m2!3d47.5327838!4d21.6262822!16s%2Fg%2F11h2m9fwm4!19sChIJVUO-Q6QPR0cRtiTFDF26QAc?authuser=0&hl=am&rclk=1
134,Dr. Bagdány Beáta fogorvos magánrendelése / Családi és Esztétikai Fogászat,,"Debrecen, Bajcsy-Zsilinszky u. 24",+36 30 228 1517,,,https://www.google.com/maps/place/Dr.+Bagd%C3%A1ny+Be%C3%A1ta+fogorvos+mag%C3%A1nrendel%C3%A9se+%2F+Csal%C3%A1di+%C3%A9s+Eszt%C3%A9tikai+Fog%C3%A1szat/data=!4m7!3m6!1s0x47470e0cf1533d0d:0x7c9535c9f70c22de!8m2!3d47.5293615!4d21.62114!16s%2Fg%2F11cs3nczwg!19sChIJDT1T8QwOR0cR3iIM98k1lXw?authuser=0&hl=am&rclk=1
135,Afogorvosa - Fogorvos Debrecen,,Péterfia u. 43,+36 70 357 5757,,,https://www.google.com/maps/place/Afogorvosa+-+Fogorvos+Debrecen/data=!4m7!3m6!1s0x47470dfba790c2db:0x8ddd8a02dbca0c67!8m2!3d47.5377306!4d21.6257813!16s%2Fg%2F11rk9pjnhm!19sChIJ28KQp_sNR0cRZwzK2wKK3Y0?authuser=0&hl=am&rclk=1
136,Jófogász fogorvos Debrecen,,?,+36 20 770 3899,,,https://www.google.com/maps/place/J%C3%B3fog%C3%A1sz+fogorvos+Debrecen/data=!4m7!3m6!1s0x47470d0c64ecad6f:0xfecc874e44a8e7dc!8m2!3d47.5252448!4d21.6194812!16s%2Fg%2F11f7gydc65!19sChIJb63sZAwNR0cR3OeoRE6HzP4?authuser=0&hl=am&rclk=1
137,Dental Centrum Fogászat,,?,,,,https://www.google.com/maps/place/Dental+Centrum+Fog%C3%A1szat/data=!4m7!3m6!1s0x47470e1398d40107:0x4a00ad54d2116a!8m2!3d47.5229858!4d21.6149519!16s%2Fg%2F11cs1vrl_g!19sChIJBwHUmBMOR0cRahHSVK0ASgA?authuser=0&hl=am&rclk=1
138,Hámori Dentál Fogorvosi Magánrendelo,,?,+36 70 361 4008,,,https://www.google.com/maps/place/H%C3%A1mori+Dent%C3%A1l+Fogorvosi+Mag%C3%A1nrendel%C5%91/data=!4m7!3m6!1s0x47470df1a0e32403:0x1a0b1ae4de3ad43a!8m2!3d47.5494384!4d21.6220338!16s%2Fg%2F1th096k2!19sChIJAyTjoPENR0cROtQ63uQaCxo?authuser=0&hl=am&rclk=1
139,Na Dental Kft.,,?,+36 52 368 116,,,https://www.google.com/maps/place/Na+Dental+Kft./data=!4m7!3m6!1s0x47470e71b34f9d63:0xb153d5c9fd63eb9e!8m2!3d47.5254481!4d21.6328151!16s%2Fg%2F1tgnkvz_!19sChIJY51Ps3EOR0cRnutj_cnVU7E?authuser=0&hl=am&rclk=1
