Index,Practitioner Name,Address,Phone,Email,Website,Google Maps URL
74,Dharma Reiki & Acupuncture,,+1 832-688-4023,,https://dharmareikiacupuncture.com/,https://www.google.com/maps/place/Dharma+Reiki+%26+Acupuncture/data=!4m7!3m6!1s0x8640c42eb626e99d:0x21100bf3107702e1!8m2!3d29.7836147!4d-95.5112552!16s%2Fg%2F11c1vhz7yf!19sChIJnekmti7EQIYR4QJ3EPMLECE?authuser=0&hl=am&rclk=1
75,West Coast Wellness Coach,,+1 818-465-8779,,http://www.wcwcoach.com/,https://www.google.com/maps/place/West+Coast+Wellness+Coach/data=!4m7!3m6!1s0x80c2b91c415248c5:0xf583420a54ae2ef9!8m2!3d34.020479!4d-118.4117326!16s%2Fg%2F11fhz56myh!19sChIJxUhSQRy5woAR-S6uVApCg_U?authuser=0&hl=am&rclk=1
76,Jerry Mikutis. Reiki. Yoga.,,,,http://www.jerrymikutis.com/,https://www.google.com/maps/place/Jerry+Mikutis.+Reiki.+Yoga./data=!4m7!3m6!1s0x880fd3f6e15b7669:0xdcb6368de061c3b0!8m2!3d41.8337105!4d-87.731879!16s%2Fg%2F11pg2vmvkt!19sChIJaXZb4fbTD4gRsMNh4I02ttw?authuser=0&hl=am&rclk=1
77,"Penelope Christ Reiki, Shamanic Healing & Karmic Cleansing",153 Norfolk St,+1 647-719-4589,,https://www.penelopechrist.com/,"https://www.google.com/maps/place/Penelope+Christ+Reiki,+Shamanic+Healing+%26+Karmic+Cleansing/data=!4m7!3m6!1s0xacbf8041a5be1f1d:0x611ba434c63c8feb!8m2!3d40.7206252!4d-73.9865652!16s%2Fg%2F11jzpw1ymp!19sChIJHR--pUGAv6wR6488xjSkG2E?authuser=0&hl=am&rclk=1"
78,Living Balanced Reiki LLC,,,,http://www.livingbalancedreiki.com/,https://www.google.com/maps/place/Living+Balanced+Reiki+LLC/data=!4m7!3m6!1s0x218515365c41ca31:0x7e1ba48c0a07417d!8m2!3d33.466465!4d-112.307316!16s%2Fg%2F11sfxcm3kw!19sChIJMcpBXDYVhSERfUEHCoykG34?authuser=0&hl=am&rclk=1
79,Inner Glow Holistic Healing by Cecilia Martinez,4807 Pin Oak Park #1615,+1 832-858-4511,,http://www.innerglow.love/,https://www.google.com/maps/place/Inner+Glow+Holistic+Healing+by+Cecilia+Martinez/data=!4m7!3m6!1s0x8640c16cf893d42d:0x1d710d370b2b0ae0!8m2!3d29.7224038!4d-95.4550594!16s%2Fg%2F11g4gk074k!19sChIJLdST-GzBQIYR4AorCzcNcR0?authuser=0&hl=am&rclk=1
80,"Sol Healing • Reiki, Sound Baths, + Self-Discovery",,+1 323-523-5139,,http://www.solhealing.life/,"https://www.google.com/maps/place/Sol+Healing+%E2%80%A2+Reiki,+Sound+Baths,+%2B+Self-Discovery/data=!4m7!3m6!1s0x8a7202e9029a2b51:0x42069b0e2ae84f16!8m2!3d37.6540439!4d-100.1004601!16s%2Fg%2F11ny3jwk39!19sChIJUSuaAukCcooRFk_oKg6bBkI?authuser=0&hl=am&rclk=1"
81,Soul House,,+1 312-882-3277,,http://www.soulhousechicago.com/,https://www.google.com/maps/place/Soul+House/data=!4m7!3m6!1s0x880e2d003c5a74e7:0x6892761bf88e6587!8m2!3d41.8868035!4d-87.662182!16s%2Fg%2F11vyx5yj3s!19sChIJ53RaPAAtDogRh2WO-Bt2kmg?authuser=0&hl=am&rclk=1
82,Acential Reiki,,,acentialreiki@yahoo.com,https://acentialreiki.com/,https://www.google.com/maps/place/Acential+Reiki/data=!4m7!3m6!1s0x872b65bbc49df271:0x264d237ffe9f318a!8m2!3d33.6990406!4d-112.1420287!16s%2Fg%2F11vd9pznm0!19sChIJcfKdxLtlK4cRijGf_n8jTSY?authuser=0&hl=am&rclk=1
84,Reiki of Los Angeles,"The Gardens, 2001 S Barrington Ave #116",+1 424-322-0377,,https://reikioflosangeles.com/,https://www.google.com/maps/place/Reiki+of+Los+Angeles/data=!4m7!3m6!1s0x80c2bbfd9918c231:0xc10b6f93dd46a6f2!8m2!3d34.03612!4d-118.4495454!16s%2Fg%2F11ldrqmxdy!19sChIJMcIYmf27woAR8qZG3ZNvC8E?authuser=0&hl=am&rclk=1
85,Revive Chiropractic Healing Center,,+1 312-491-8100,,https://www.revivechiropractichealing.com/,https://www.google.com/maps/place/Revive+Chiropractic+Healing+Center/data=!4m7!3m6!1s0x880e2cd8b79b8467:0x21443e1f81f8852!8m2!3d41.8814074!4d-87.657014!16s%2Fg%2F1tf7h7pg!19sChIJZ4Sbt9gsDogRUogf-OFDFAI?authuser=0&hl=am&rclk=1
86,Yuri P the Reiki Master NYC,,+1 703-832-5171,,,https://www.google.com/maps/place/Yuri+P+the+Reiki+Master+NYC/data=!4m7!3m6!1s0x4365da593d5ffc6b:0x1cf2e9234bcdbf0b!8m2!3d40.7813047!4d-73.9771184!16s%2Fg%2F11l29mlytv!19sChIJa_xfPVnaZUMRC7_NSyPp8hw?authuser=0&hl=am&rclk=1
87,Heavenly Energy Healing,,,,https://www.heavenlyenergyhealing.com/,https://www.google.com/maps/place/Heavenly+Energy+Healing/data=!4m7!3m6!1s0x872b0b931205dd25:0x2a60170d2c80d85b!8m2!3d33.4997699!4d-111.9236974!16s%2Fg%2F11mtry8bpq!19sChIJJd0FEpMLK4cRW9iALA0XYCo?authuser=0&hl=am&rclk=1
88,Love Light Goddess,2001 S Barrington Ave Suite 215,2001 S Barrington Ave Suite 215,,http://www.lovelightgoddess.com/,https://www.google.com/maps/place/Love+Light+Goddess/data=!4m7!3m6!1s0x80c2bb88f2515d99:0x26d7dab33b891d32!8m2!3d34.0365629!4d-118.4503394!16s%2Fg%2F11tjm8t3hq!19sChIJmV1R8oi7woARMh2JO7Pa1yY?authuser=0&hl=am&rclk=1
89,Awakening Vibration - Reiki Healing,280 Ashland Pl,+1 917-409-6557,,https://awakeningvibrationreiki.com/,https://www.google.com/maps/place/Awakening+Vibration+-+Reiki+Healing/data=!4m7!3m6!1s0x89c25b45540e12ed:0xb37ae740166ae2f8!8m2!3d40.6870406!4d-73.9785036!16s%2Fg%2F11gtsgfljs!19sChIJ7RIOVEVbwokR-OJqFkDnerM?authuser=0&hl=am&rclk=1
90,Magical Onyx,,,,https://wa.me/message/XN2KLJA542UFD1,https://www.google.com/maps/place/Magical+Onyx/data=!4m7!3m6!1s0x8640a38c0d1a3bb1:0xcd92cfd2a63d5857!8m2!3d29.6914773!4d-95.2208768!16s%2Fg%2F11ldw61j9t!19sChIJsTsaDYyjQIYRV1g9ptLPks0?authuser=0&hl=am&rclk=1
91,Reiki,950 W Monroe St UNIT 814,+1 312-369-0376,,,https://www.google.com/maps/place/Reiki/data=!4m7!3m6!1s0x880e2d204413cdbd:0x9775da55d0c2e409!8m2!3d41.880641!4d-87.6514577!16s%2Fg%2F11fjtqqg19!19sChIJvc0TRCAtDogRCeTC0FXadZc?authuser=0&hl=am&rclk=1
92,Circle of Light Reiki,,,,,https://www.google.com/maps/place/Circle+of+Light+Reiki/data=!4m7!3m6!1s0x872b13ffe048b8a7:0x82ae85b677f43603!8m2!3d33.6043256!4d-112.124793!16s%2Fg%2F11qq9f5w73!19sChIJp7hI4P8TK4cRAzb0d7aFroI?authuser=0&hl=am&rclk=1
93,Metaphysical Reiki,8191 Southwest Fwy STE 102,,info@metaphysicalreiki.com,https://www.metaphysicalreiki.com/,https://www.google.com/maps/place/Metaphysical+Reiki/data=!4m7!3m6!1s0x8640c39f387f6b59:0x7594b2dfde59e502!8m2!3d29.6894037!4d-95.5286848!16s%2Fg%2F11rc09yvp2!19sChIJWWt_OJ_DQIYRAuVZ3t-ylHU?authuser=0&hl=am&rclk=1
94,"Reiki, Yoga & Energy Healing",,,,https://www.yogawithanastasia.org/,"https://www.google.com/maps/place/Reiki,+Yoga+%26+Energy+Healing/data=!4m7!3m6!1s0x80c2bb6618de37e9:0xc2df1c4068727395!8m2!3d34.07163!4d-118.2010744!16s%2Fg%2F11r8qpp2y0!19sChIJ6TfeGGa7woARlXNyaEAc38I?authuser=0&hl=am&rclk=1"
95,Robert Salvit,353 Lexington Ave Suite #1604,+1 347-841-6013,,http://www.robertsalvit.com/,https://www.google.com/maps/place/Robert+Salvit/data=!4m7!3m6!1s0x89c258e3d49830c9:0x7f0847c6e7c8d645!8m2!3d40.749924!4d-73.9769034!16s%2Fg%2F11bc7rrgjd!19sChIJyTCY1ONYwokRRdbI58ZHCH8?authuser=0&hl=am&rclk=1
96,Constant Flow Life & Wellness coaching,5444 Westheimer Rd,+1 832-827-3454,,https://inconstantflowbehavioralandwellnesscoaching.hbportal.co/schedule/632cf752da8787002bf5cd75,https://www.google.com/maps/place/Constant+Flow+Life+%26+Wellness+coaching/data=!4m7!3m6!1s0x8640c11ee9d82115:0x4315ddde8a335187!8m2!3d29.7389963!4d-95.4736443!16s%2Fg%2F11t7ncnsw4!19sChIJFSHY6R7BQIYRh1Ezit7dFUM?authuser=0&hl=am&rclk=1
98,Aymee De Los Angeles Holistic Center LLC,,+1 818-859-7988,,http://angelesdesanacion.com/,https://www.google.com/maps/place/Aymee+De+Los+Angeles+Holistic+Center+LLC/data=!4m7!3m6!1s0x80c2bffec686a903:0x95a4357ecc673936!8m2!3d34.1677907!4d-118.3240652!16s%2Fg%2F11c5s6gfxt!19sChIJA6mGxv6_woARNjlnzH41pJU?authuser=0&hl=am&rclk=1
99,Boost in Life Botanica Holistic Healing,10540 Northwest Fwy Suite #10540,+1 346-269-1792,,,https://www.google.com/maps/place/Boost+in+Life+Botanica+Holistic+Healing/data=!4m7!3m6!1s0x8640c743a9a839b5:0xe8ad97481e1e52a1!8m2!3d29.8134348!4d-95.4605311!16s%2Fg%2F11swtggk3l!19sChIJtTmoqUPHQIYRoVIeHkiXreg?authuser=0&hl=am&rclk=1
